a1,a2,q21,q23,k16_1,k16_2,k16_3,k16_4,k16_5,k16_6,k16_7,k16_8,k16_9,k16_10,k16_11,k16_12,k22,k23,d1,d2,d3_1,d3_2,d4,d10,d32,filter_$
3010,502,2,1, , , , , , , , , , , , ,1,2,1945,2,1,2,2,7,1,1
4012,841,1,1,3,3,3,1,3,3,3,3,3,3,3,3, , ,1939,2,1,2,5,8,1,0
4014,841,3,1, , , , , , , , , , , , ,3,2,1939,2,2,7,2,8,1,0
4018,841,2,1, , , , , , , , , , , , ,3,1,1939,1,1,2,2,7,1,1
4027,841,3,1, , , , , , , , , , , , ,2,1,1980,1,4,5,1,1,1,1
4032,841,3,2, , , , , , , , , , , , ,3,2,1963,2,2,2,2,1,1,1
4033,841,1,2,2,2,3,3,3,3,1,2,2,2,1,3, , ,1981,2,2,2,1,8,1,1
4036,841,1,2,3,3,3,1,3,3,2,1,1,3,3,3, , ,1946,1,1,7,1,8,1,0
4039,841,2,2, , , , , , , , , , , , ,2,2,1935,2,1,2,5,7,1,0
4045,841,2,2, , , , , , , , , , , , ,3,2,1972,2,2,3,4,9,2,0
5015,2209,3,2, , , , , , , , , , , , ,2,1,1991,1,4,7,1,4,1,0
5016,2209,2,3, , , , , , , , , , , , ,2,1,1991,1,1,2,1,1,1,1
5020,2209,3,3, , , , , , , , , , , , ,3,2,1990,2,4,2,1,1,1,1
5038,2209,3,1, , , , , , , , , , , , ,2,2,1943,2,4,6,1,7,1,0
5070,2209,3,1, , , , , , , , , , , , ,2,3,1954,1,2,2,1,1,1,0
5073,2209,3,1, , , , , , , , , , , , ,2,2,1951,2,4,3,2,1,1,1
5078,2209,3,1, , , , , , , , , , , , ,2,1,1965,2,4,6,2,1,1,0
7006,2383,2,1, , , , , , , , , , , , ,2,1,1947,2,2,6,2,8,1,1
7009,2383,2,1, , , , , , , , , , , , ,3,1,1936,1,1,2,2,7,1,1
7010,2383,2,1, , , , , , , , , , , , ,3,1,1940,1,2,3,2,7,1,0
7013,2383,2,1, , , , , , , , , , , , ,2,1,1931,1,2,2,2,7,1,0
7014,2383,2,1, , , , , , , , , , , , ,3,1,1932,1,2,3,2,7,1,1
7027,2383,1,2,2,2,3,3,3,2,3,2,3,3,1,3, , ,1981,2,2,2,3,11,1,0
7028,2383,3,1, , , , , , , , , , , , ,2,2,1952,2,2,2,4,1,1,0
7029,2383,2,1, , , , , , , , , , , , ,3,2,1944,2,2,2,2,7,1,0
7031,2383,1,3,2,2,3,3,3,1,2,4,3,3,1,3, , ,1991,1,2,1,1,6,1,1
7032,2383,3,1, , , , , , , , , , , , ,3,2,1948,2,2,7,4,1,1,1
7033,2383,2,1, , , , , , , , , , , , ,2,1,1965,1,2,7,1,5,1,0
7035,2383,1,3,3,3,3,3,3,1,1,1,3,3,1,3, , ,1990,1,2,2,3,5,1,0
7037,2383,3,1, , , , , , , , , , , , ,3,2,1921,1,1,3,2,7,1,1
7040,2383,2,1, , , , , , , , , , , , ,3,2,1920,2,1,7,5,7,1,1
12001,2533,2,1, , , , , , , , , , , , ,2,2,1938,2,1,2,5,7,1,1
12005,2533,3,1, , , , , , , , , , , , ,1,2,1943,2,4,4,5,7,1,1
12011,2533,1,2,2,2,3,3,3,2,2,1,1,2,2,1, , ,1986,1,2,3,1,1,2,1
12015,2533,3,1, , , , , , , , , , , , ,3,2,1953,1,2,2,1,5,1,0
12016,2533,2,1, , , , , , , , , , , , ,3,1,1959,2,2,2,3,1,1,0
12017,2533,3,1, , , , , , , , , , , , ,3,1,1949,1,2,2,3,1,1,0
12019,2533,2,1, , , , , , , , , , , , ,2,2,1960,1,2,7,3,1,1,1
12020,2533,2,1, , , , , , , , , , , , ,3,1,1948,2,2,2,1,5,2,1
12021,2533,1,3,3,3,1,3,3,2,2,2,2,3,3,3, , ,1990,2,2,1,1,6,1,0
12023,2533,6,3, , , , , , , , , , , , , , ,1959,2,1,4,5,1,1,1
28005,3364,1,2,3,1,3,3,4,1,1,1,1,1,4,3, , ,1975,1,2,2,1,5,2,1
28007,3364,2,1, , , , , , , , , , , , ,3,1,1954,1,2,2,2,9,1,1
28012,3364,2,1, , , , , , , , , , , , ,3,1,1958,2,2,2,2,5,2,1
28016,3364,2,1, , , , , , , , , , , , ,3,1,1950,1,1,2,3,5,2,1
28018,3364,2,1, , , , , , , , , , , , ,3,2,1946,1,1,7,5,7,1,1
28022,3364,2,1, , , , , , , , , , , , ,3,1,1947,1,1,2,4,8,1,0
28023,3364,3,1, , , , , , , , , , , , ,4,1,1963,1,2,6,4,3,1,1
29003,3367,1,2,3,3,3,3,3,3,3,3,3,3,3,3, , ,1978,2,2,2,4,5,2,0
29010,3367,2,1, , , , , , , , , , , , ,2,1,1932,2,1,7,5,8,1,1
29014,3367,1,3,3,3,3,3,3,1,1,1,1,3,1,3, , ,1989,1,4,3,1,1,2,1
29018,3367,2,1, , , , , , , , , , , , ,3,2,1958,2,4,2,2,2,1,1
29027,3367,3,1, , , , , , , , , , , , ,2,2,1955,1,4,3,2,1,1,1
30008,3394,2,1, , , , , , , , , , , , ,3,1,1926,2,1,7,5,7,1,0
30009,3394,1,2,3,3,3,3,3,1,1,1,1,1,1,2, , ,1947,2,2,2,2,8,1,1
30010,3394,2,1, , , , , , , , , , , , ,1,1,1945,2,3,2,2,8,1,1
30014,3394,1,1,3,2,3,3,3,3,1,1,1,1,2,1, , ,1934,1,1,7,4,7,1,0
30015,3394,2,1, , , , , , , , , , , , ,1,1,1930,1,1,7,2,7,1,0
30018,3394,2,1, , , , , , , , , , , , ,1,2,1963,2,2,3,4,2,1,1
30019,3394,3,1, , , , , , , , , , , , ,3,2,1949,1,3,3,1,8,1,1
31029,3450,1,2,3,3,3,3,3,1,1,3,1,3,1,3, , ,1970,1,4,2,2,1,1,0
32019,3458,3,2, , , , , , , , , , , , ,3,2,1934,2,1,7,5,7,1,1
33005,3485,2,2, , , , , , , , , , , , ,3,1,1935,1,2,3,2,7,1,1
34017,3491,1,1,3,3,3,1,3,3,3,3,3,3,3,3, , ,1936,1,1,3,2,7,1,1
42006,3745,3,1, , , , , , , , , , , , ,2,1,1982,1,4,3,2,1,1,1
42007,3745,3,1, , , , , , , , , , , , ,3,2,1937,1,2,3,2,7,1,1
42010,3745,3,1, , , , , , , , , , , , ,2,1,1966,1,2,3,2,1,2,1
42015,3745,1,1,1,3,3,3,3,3,2,3,2,2,2,3, , ,1971,2,2,2,2,2,1,1
42017,3745,3,1, , , , , , , , , , , , ,3,2,1925,1,1,3,2,7,1,1
42018,3745,1,1,1,1,3,3,3,2,2,2,2,2,2,3, , ,1958,2,1,2,4,1,1,1
42021,3745,3,1, , , , , , , , , , , , ,2,1,1986,2,4,3,1,1,1,1
42022,3745,2,1, , , , , , , , , , , , ,3,2,1934,2,2,3,5,7,1,1
42030,3745,1,3,3,3,3,3,3,2,1,2,2,3,1,3, , ,1990,2,4,4,1,6,1,1
42035,3745,1,2,2,2,3,3,3,1,1,1,2,3,1,3, , ,1977,2,2,3,2,2,2,1
42054,3745,1,2,4,2,3,3,3,2,2,2,2,4,4,2, , ,1976,1,2,4,2,1,1,1
62001,4097,1,2,3,3,3,3,3,1,2,3,2,3,1,3, , ,1955,1,2,2,1,1,1,1
62002,4097,2,1, , , , , , , , , , , , ,2,2,1946,2,4,6,1,7,1,0
62004,4097,2,1, , , , , , , , , , , , ,3,1,1950,2,4,6,4,3,1,1
65003,4139,1,3,3,2,3,3,3,2,2,2,1,3,1,3, , ,1992,2,3,7,1,6,1,1
65005,4139,2,1, , , , , , , , , , , , ,3,1,1938,1,1,7,2,7,1,0
65006,4139,1,2,3,3,3,3,3,2,1,1,1,3,1,2, , ,1986,1,2,2,1,1,1,1
65007,4139,1,2,2,2,3,3,3,2,2,2,3,3,2,3, , ,1970,2,2,2,3,8,1,1
