alaika,pala,asmenot,rkkot,filter_$
25,105,6420,66000,1
66,80,4800,52000,0
38,80,5040,25500,0
71,160,6996,83500,1
17,100,7860,128500,1
31,65,1392,132500,1
36,98,2940,95500,1
7,51,7536,54000,0
3,98,4560,148000,0
19,120,5400,164500,0
34,100,2400,97000,0
20,90,1800,80000,0
15,100,3600,108500,0
20,107,14364,73000,0
44,168,5640,121000,0
17,120,13200,168000,1
19,84,12564,110000,0
7,110,4716,136500,0
36,200,7656,172000,1
6,158,12420,160000,0
3,18,5988,14500,0
53,200,8400,73000,1
17,80,5436,113500,0
18,126,6000,139000,0
12,78,5172,57500,0
45,40,1416,78000,1
47,106,2940,101500,1
6,100,2364,77500,0
10,100,7800,117000,0
4,52,4476,56500,1
8,105,5580,119500,1
17,64,18300,109500,1
15,80,2376,93500,1
10,83,19800,173500,1
28,100,9600,121000,0
24,34,9600,50000,0
7,132,14400,165500,0
25,200,7200,198500,1
1,27,3600,81000,1
14,64,6960,85500,0
6,84,9360,103500,0
20,80,6000,152500,1
9,200,9600,197500,0
5,47,5400,48500,1
22,68,7200,161000,1
22,138,8400,240000,1
4,129,9000,186000,0
5,66,7800,120000,1
0,76,9480,69000,0
6,26,3000,62500,1
4,34,13200,130000,1
5,49,6048,60500,1
6,98,8400,139000,1
0,76,7608,37000,0
2,86,7800,195000,1
0,45,12000,75500,0
3,60,5160,128000,0
4,95,12000,191000,0
8,150,6000,179500,1
14,150,4680,151000,0
18,71,9600,84000,0
4,80,7200,174000,0
0,75,14160,106500,0
10,46,4680,55000,0
2,57,9600,47500,1
8,110,15120,185500,1
0,60,4212,94000,0
13,54,12708,108500,1
7,85,7800,223000,0
15,82,10200,144000,1
6,62,6000,120000,1
0,71,17400,124000,1
1,79,6000,101500,1
0,46,11880,58000,1
2,78,6000,140000,1
18,64,4500,87000,1
9,180,6600,175000,0
6,74,6360,150000,1
50,150,4200,45500,0
8,91,12000,148000,0
30,90,9264,86000,1
0,54,14400,44500,1
2,120,7740,183000,1
2,75,1800,169000,1
0,60,12600,115500,0
11,80,7200,91000,0
0,51,12684,54500,0
5,91,17976,108000,0
6,58,16800,71500,0
4,250,15000,107000,0
2,55,5160,110000,1
6,68,13200,98500,0
65,104,4020,60500,0
22,70,0,218500,1
25,110,4488,196000,0
